Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,3000.0 um
Duration,30 sec
Resolution,0.333 um/sample
Force,3.00 mg
Measurement Range,6.5 um
Profile,Hills&Valleys
Display Range,Auto
R. Cursor,Pos: 2970.3 um Width: 2472.1 um
M. Cursor,Pos: 55.9 um Width: 2506.9 um

Scan Data
Lateral um,Raw Angstrom,
358.3,-873.8,,
358.7,-877.5,,
359.0,-884.0,,
359.3,-887.0,,
359.7,-884.3,,
360.0,-883.6,,
360.3,-880.7,,
360.7,-879.2,,
361.0,-885.0,,
361.3,-887.8,,
361.7,-888.4,,
362.0,-886.7,,
362.3,-884.9,,
362.7,-884.1,,
363.0,-888.5,,
363.3,-890.7,,
363.7,-889.8,,
364.0,-885.9,,
364.3,-882.7,,
364.7,-881.2,,
365.0,-880.0,,
365.3,-884.7,,
365.7,-882.4,,
366.0,-878.4,,
366.3,-872.9,,
366.7,-870.8,,
367.0,-868.8,,
367.3,-866.7,,
367.7,-863.0,,
368.0,-859.0,,
368.3,-849.4,,
368.7,-845.0,,
369.0,-843.1,,
369.3,-837.5,,
369.7,-831.9,,
370.0,-827.2,,
370.3,-816.5,,
370.7,-807.3,,
371.0,-808.0,,
371.3,-810.1,,
371.7,-807.2,,
372.0,-802.5,,
372.3,-797.4,,
372.7,-791.6,,
373.0,-789.0,,
373.3,-789.7,,
373.7,-785.5,,
374.0,-777.0,,
374.3,-769.3,,
374.7,-758.7,,
375.0,-755.3,,
375.3,-754.6,,
375.7,-746.8,,
376.0,-737.7,,
376.3,-727.7,,
376.7,-717.1,,
377.0,-708.0,,
377.3,-705.1,,
377.7,-701.4,,
378.0,-695.4,,
378.3,-682.6,,
378.7,-673.0,,
379.0,-666.2,,
379.3,-660.6,,
379.7,-657.4,,
380.0,-649.4,,
380.3,-635.6,,
380.7,-627.3,,
381.0,-620.6,,
381.3,-618.4,,
381.7,-611.9,,
382.0,-603.4,,
382.3,-591.6,,
382.7,-578.9,,
383.0,-569.8,,
383.3,-566.2,,
383.7,-555.5,,
384.0,-548.1,,
384.3,-536.3,,
384.7,-521.8,,
385.0,-514.9,,
385.3,-508.6,,
385.7,-499.1,,
386.0,-489.2,,
386.3,-478.5,,
386.7,-459.9,,
387.0,-441.8,,
387.3,-433.9,,
387.7,-425.0,,
388.0,-412.0,,
388.3,-397.9,,
388.7,-380.5,,
389.0,-361.7,,
389.3,-349.9,,
389.7,-344.6,,
390.0,-332.3,,
390.3,-316.3,,
390.7,-298.7,,
391.0,-282.2,,
391.3,-270.8,,
391.7,-263.2,,
392.0,-253.2,,
392.3,-237.0,,
392.7,-214.5,,
393.0,-198.7,,
393.3,-185.7,,
393.7,-174.2,,
394.0,-163.2,,
394.3,-147.1,,
394.7,-125.8,,
395.0,-107.1,,
395.3,-93.2,,
395.7,-81.1,,
396.0,-67.0,,
396.3,-49.0,,
396.7,-22.3,,
397.0,2.5,,
397.3,17.6,,
397.7,34.4,,
398.0,49.8,,
398.3,69.7,,
398.7,90.8,,
399.0,119.8,,
399.3,140.5,,
399.7,160.1,,
400.0,180.5,,
400.3,205.5,,
400.7,233.6,,
401.0,264.4,,
401.3,290.1,,
401.7,309.5,,
402.0,329.8,,
402.3,353.7,,
402.7,378.9,,
403.0,409.3,,
403.3,441.2,,
403.7,463.8,,
404.0,485.1,,
404.3,510.1,,
404.7,536.7,,
405.0,566.3,,
405.3,593.8,,
405.7,617.7,,
406.0,635.8,,
406.3,659.3,,
406.7,688.0,,
407.0,717.2,,
407.3,745.5,,
407.7,767.7,,
408.0,786.4,,
408.3,805.4,,
408.7,830.1,,
409.0,861.6,,
409.3,888.3,,
409.7,908.8,,
410.0,927.9,,
410.3,949.0,,
410.7,973.7,,
